"","Person","Age","Gender","Group","Questions","Percentage"
"133",3,19,"female","1","Question_3",0.854
"134",4,22,"male","2","Question_3",0.828
"135",5,39,"female","1","Question_3",0.742
"136",6,22,"female","2","Question_3",0.95
"137",7,22,"male","1","Question_3",0.684
"138",8,36,"female","2","Question_3",0.71
"139",9,29,"male","1","Question_3",0.815
"140",10,22,"female","2","Question_3",0.689
"141",11,18,"female","1","Question_3",0.767
"142",12,22,"female","2","Question_3",0.762
"143",13,23,"male","1","Question_3",0.81
"144",14,32,"female","2","Question_3",0.611
"145",15,22,"female","1","Question_3",0.754
"146",16,38,"female","2","Question_3",0.83
"147",17,25,"female","1","Question_3",0.728
"148",18,33,"female","2","Question_3",0.752
"149",19,22,"female","1","Question_3",0.683
"150",20,23,"male","2","Question_3",0.883
"151",21,32,"female","1","Question_3",0.722
"152",22,33,"female","2","Question_3",0.811
"153",23,31,"male","1","Question_3",0.784
"154",24,23,"female","2","Question_3",0.871
"155",25,20,"male","1","Question_3",0.833
"156",26,25,"female","2","Question_3",0.901
"157",27,20,"male","1","Question_3",0.768
"158",28,26,"male","2","Question_3",0.774
"159",29,18,"female","1","Question_3",0.804
"160",30,19,"female","2","Question_3",0.472
"161",31,18,"female","1","Question_3",0.906
"162",32,22,"female","2","Question_3",0.809
"163",33,24,"female","1","Question_3",0.768
"164",34,22,"male","2","Question_3",0.895
"165",35,20,"female","1","Question_3",0.743
"166",36,18,"female","2","Question_3",0.759
"167",37,27,"female","1","Question_3",0.923
"168",38,19,"female","2","Question_3",0.794
"169",39,20,"female","1","Question_3",0.74
"170",40,19,"female","2","Question_3",0.686
"171",41,18,"female","1","Question_3",0.703
"172",42,19,"female","2","Question_3",0.863
"173",43,20,"female","1","Question_3",0.882
"174",44,18,"female","2","Question_3",0.825
"175",45,18,"male","1","Question_3",0.875
"176",46,24,"female","2","Question_3",0.866
"177",47,18,"female","1","Question_3",0.772
"178",48,18,"female","2","Question_3",0.715
"179",49,22,"female","1","Question_3",0.866
"180",50,22,"female","2","Question_3",0.863
"181",51,20,"female","1","Question_3",0.739
"182",52,22,"male","2","Question_3",0.872
"183",53,18,"female","1","Question_3",0.734
"184",54,18,"female","2","Question_3",0.697
"185",55,18,"female","1","Question_3",0.973
"186",56,18,"female","2","Question_3",0.844
"187",57,18,"female","1","Question_3",0.744
"188",58,18,"female","2","Question_3",0.622
"189",59,18,"female","1","Question_3",0.704
"190",60,18,"female","2","Question_3",0.756
"191",61,21,"male","1","Question_3",0.848
"192",62,19,"male","2","Question_3",0.857
"193",63,18,"female","1","Question_3",0.959
"194",64,18,"female","2","Question_3",0.726
"195",65,18,"female","1","Question_3",0.687
"196",1,24,"female","1","Question_4",0.913
"197",2,23,"male","2","Question_4",0.91
"198",3,19,"female","1","Question_4",0.856
"199",4,22,"male","2","Question_4",0.801
"200",5,39,"female","1","Question_4",0.839
"201",6,22,"female","2","Question_4",0.964
"202",7,22,"male","1","Question_4",0.858
"203",8,36,"female","2","Question_4",0.892
"204",9,29,"male","1","Question_4",0.849
"205",10,22,"female","2","Question_4",0.858
"206",11,18,"female","1","Question_4",0.912
"207",12,22,"female","2","Question_4",1
"208",13,23,"male","1","Question_4",0.924
"209",14,32,"female","2","Question_4",0.792
"210",15,22,"female","1","Question_4",0.899
"211",16,38,"female","2","Question_4",0.815
"212",17,25,"female","1","Question_4",0.77
"213",18,33,"female","2","Question_4",0.942
"214",19,22,"female","1","Question_4",0.753
"215",20,23,"male","2","Question_4",0.949
"216",21,32,"female","1","Question_4",0.939
"217",22,33,"female","2","Question_4",0.839
"218",23,31,"male","1","Question_4",0.917
"219",24,23,"female","2","Question_4",0.863
"220",25,20,"male","1","Question_4",0.885
"221",26,25,"female","2","Question_4",0.939
"222",27,20,"male","1","Question_4",0.816
"223",28,26,"male","2","Question_4",0.747
"224",29,18,"female","1","Question_4",0.942
"225",30,19,"female","2","Question_4",0.791
"226",31,18,"female","1","Question_4",0.95
"227",32,22,"female","2","Question_4",0.942
"228",33,24,"female","1","Question_4",0.843
"229",34,22,"male","2","Question_4",0.687
"230",35,20,"female","1","Question_4",0.702
"231",36,18,"female","2","Question_4",0.754
"232",37,27,"female","1","Question_4",0.882
"233",38,19,"female","2","Question_4",0.908
"234",39,20,"female","1","Question_4",0.889
"235",40,19,"female","2","Question_4",0.813
"236",41,18,"female","1","Question_4",0.907
"237",42,19,"female","2","Question_4",0.942
"238",43,20,"female","1","Question_4",0.792
"239",44,18,"female","2","Question_4",0.933
"240",45,18,"male","1","Question_4",0.832
"241",46,24,"female","2","Question_4",0.813
"242",47,18,"female","1","Question_4",0.715
"243",48,18,"female","2","Question_4",0.885
"244",49,22,"female","1","Question_4",0.935
"245",50,22,"female","2","Question_4",0.881
"246",51,20,"female","1","Question_4",1
"247",52,22,"male","2","Question_4",0.817
"248",53,18,"female","1","Question_4",0.901
"249",54,18,"female","2","Question_4",0.859
"250",55,18,"female","1","Question_4",0.959
