"","Person","Age","Gender","Group","Container","Percentage"
"133",3,19,"female","1","Container_3",0.745
"134",4,22,"male","2","Container_3",0.808
"135",5,39,"female","1","Container_3",0.711
"136",6,22,"female","2","Container_3",0.856
"137",7,22,"male","1","Container_3",0.766
"138",8,36,"female","2","Container_3",0.752
"139",9,29,"male","1","Container_3",0.785
"140",10,22,"female","2","Container_3",0.782
"141",11,18,"female","1","Container_3",0.773
"142",12,22,"female","2","Container_3",0.845
"143",13,23,"male","1","Container_3",0.771
"144",14,32,"female","2","Container_3",0.783
"145",15,22,"female","1","Container_3",0.792
"146",16,38,"female","2","Container_3",0.877
"147",17,25,"female","1","Container_3",0.726
"148",18,33,"female","2","Container_3",0.788
"149",19,22,"female","1","Container_3",0.744
"150",20,23,"male","2","Container_3",0.851
"151",21,32,"female","1","Container_3",0.781
"152",22,33,"female","2","Container_3",0.682
"153",23,31,"male","1","Container_3",0.789
"154",24,23,"female","2","Container_3",0.792
"155",25,20,"male","1","Container_3",0.763
"156",26,25,"female","2","Container_3",0.9
"157",27,20,"male","1","Container_3",0.859
"158",28,26,"male","2","Container_3",0.806
"159",29,18,"female","1","Container_3",0.777
"160",30,19,"female","2","Container_3",0.649
"161",31,18,"female","1","Container_3",0.882
"162",32,22,"female","2","Container_3",0.793
"163",33,24,"female","1","Container_3",0.813
"164",34,22,"male","2","Container_3",0.742
"165",35,20,"female","1","Container_3",0.75
"166",36,18,"female","2","Container_3",0.792
"167",37,27,"female","1","Container_3",0.703
"168",38,19,"female","2","Container_3",0.727
"169",39,20,"female","1","Container_3",0.776
"170",40,19,"female","2","Container_3",0.617
"171",41,18,"female","1","Container_3",0.742
"172",42,19,"female","2","Container_3",0.856
"173",43,20,"female","1","Container_3",0.793
"174",44,18,"female","2","Container_3",0.823
"175",45,18,"male","1","Container_3",0.761
"176",46,24,"female","2","Container_3",0.735
"177",47,18,"female","1","Container_3",0.675
"178",48,18,"female","2","Container_3",0.799
"179",49,22,"female","1","Container_3",0.951
"180",50,22,"female","2","Container_3",0.784
"181",51,20,"female","1","Container_3",0.822
"182",52,22,"male","2","Container_3",0.752
"183",53,18,"female","1","Container_3",0.728
