"","Person","Age","Gender","Group","Questions","Percentage"
"133",3,19,"female","1","Question_4",0.856
"134",4,22,"male","2","Question_4",0.801
"135",5,39,"female","1","Question_4",0.839
"136",6,22,"female","2","Question_4",0.964
"137",7,22,"male","1","Question_4",0.858
"138",8,36,"female","2","Question_4",0.892
"139",9,29,"male","1","Question_4",0.849
"140",10,22,"female","2","Question_4",0.858
"141",11,18,"female","1","Question_4",0.912
"142",12,22,"female","2","Question_4",1
"143",13,23,"male","1","Question_4",0.924
"144",14,32,"female","2","Question_4",0.792
"145",15,22,"female","1","Question_4",0.899
"146",16,38,"female","2","Question_4",0.815
"147",17,25,"female","1","Question_4",0.77
"148",18,33,"female","2","Question_4",0.942
"149",19,22,"female","1","Question_4",0.753
"150",20,23,"male","2","Question_4",0.949
"151",21,32,"female","1","Question_4",0.939
"152",22,33,"female","2","Question_4",0.839
"153",23,31,"male","1","Question_4",0.917
"154",24,23,"female","2","Question_4",0.863
"155",25,20,"male","1","Question_4",0.885
"156",26,25,"female","2","Question_4",0.939
"157",27,20,"male","1","Question_4",0.816
"158",28,26,"male","2","Question_4",0.747
"159",29,18,"female","1","Question_4",0.942
"160",30,19,"female","2","Question_4",0.791
"161",31,18,"female","1","Question_4",0.95
"162",32,22,"female","2","Question_4",0.942
"163",33,24,"female","1","Question_4",0.843
"164",34,22,"male","2","Question_4",0.687
"165",35,20,"female","1","Question_4",0.702
"166",36,18,"female","2","Question_4",0.754
"167",37,27,"female","1","Question_4",0.882
"168",38,19,"female","2","Question_4",0.908
"169",39,20,"female","1","Question_4",0.889
"170",40,19,"female","2","Question_4",0.813
"171",41,18,"female","1","Question_4",0.907
"172",42,19,"female","2","Question_4",0.942
"173",43,20,"female","1","Question_4",0.792
"174",44,18,"female","2","Question_4",0.933
"175",45,18,"male","1","Question_4",0.832
"176",46,24,"female","2","Question_4",0.813
"177",47,18,"female","1","Question_4",0.715
"178",48,18,"female","2","Question_4",0.885
"179",49,22,"female","1","Question_4",0.935
"180",50,22,"female","2","Question_4",0.881
"181",51,20,"female","1","Question_4",1
"182",52,22,"male","2","Question_4",0.817
"183",53,18,"female","1","Question_4",0.901
"184",54,18,"female","2","Question_4",0.859
"185",55,18,"female","1","Question_4",0.959
"186",56,18,"female","2","Question_4",0.834
"187",57,18,"female","1","Question_4",0.679
"188",58,18,"female","2","Question_4",0.624
"189",59,18,"female","1","Question_4",0.921
"190",60,18,"female","2","Question_4",0.892
"191",61,21,"male","1","Question_4",0.914
"192",62,19,"male","2","Question_4",0.906
"193",63,18,"female","1","Question_4",0.982
"194",64,18,"female","2","Question_4",0.829
"195",65,18,"female","1","Question_4",0.771
"196",1,24,"female","1","Question_5",0.982
"197",2,23,"male","2","Question_5",0.904
"198",3,19,"female","1","Question_5",0.654
"199",4,22,"male","2","Question_5",0.871
"200",5,39,"female","1","Question_5",0.868
"201",6,22,"female","2","Question_5",1
"202",7,22,"male","1","Question_5",0.729
"203",8,36,"female","2","Question_5",0.732
"204",9,29,"male","1","Question_5",0.921
"205",10,22,"female","2","Question_5",0.764
"206",11,18,"female","1","Question_5",0.911
"207",12,22,"female","2","Question_5",0.804
"208",13,23,"male","1","Question_5",0.914
"209",14,32,"female","2","Question_5",0.871
"210",15,22,"female","1","Question_5",0.932
"211",16,38,"female","2","Question_5",0.939
"212",17,25,"female","1","Question_5",0.896
"213",18,33,"female","2","Question_5",0.8
"214",19,22,"female","1","Question_5",0.886
"215",20,23,"male","2","Question_5",0.964
"216",21,32,"female","1","Question_5",0.879
"217",22,33,"female","2","Question_5",0.861
"218",23,31,"male","1","Question_5",0.939
"219",24,23,"female","2","Question_5",0.832
"220",25,20,"male","1","Question_5",0.8
"221",26,25,"female","2","Question_5",0.964
"222",27,20,"male","1","Question_5",0.854
"223",28,26,"male","2","Question_5",0.843
"224",29,18,"female","1","Question_5",0.879
"225",30,19,"female","2","Question_5",0.693
"226",31,18,"female","1","Question_5",0.85
"227",32,22,"female","2","Question_5",0.929
"228",33,24,"female","1","Question_5",0.946
"229",34,22,"male","2","Question_5",0.886
"230",35,20,"female","1","Question_5",0.868
"231",36,18,"female","2","Question_5",0.718
"232",37,27,"female","1","Question_5",0.889
"233",38,19,"female","2","Question_5",0.846
"234",39,20,"female","1","Question_5",0.843
"235",40,19,"female","2","Question_5",0.739
"236",41,18,"female","1","Question_5",0.857
"237",42,19,"female","2","Question_5",0.957
"238",43,20,"female","1","Question_5",0.8
"239",44,18,"female","2","Question_5",0.896
"240",45,18,"male","1","Question_5",0.829
"241",46,24,"female","2","Question_5",0.682
"242",47,18,"female","1","Question_5",0.829
"243",48,18,"female","2","Question_5",0.889
"244",49,22,"female","1","Question_5",0.964
"245",50,22,"female","2","Question_5",0.871
"246",51,20,"female","1","Question_5",0.857
"247",52,22,"male","2","Question_5",0.879
"248",53,18,"female","1","Question_5",0.85
"249",54,18,"female","2","Question_5",0.914
"250",55,18,"female","1","Question_5",0.982
"251",56,18,"female","2","Question_5",0.921
"252",57,18,"female","1","Question_5",0.8
"253",58,18,"female","2","Question_5",0.882
"254",59,18,"female","1","Question_5",0.836
"255",60,18,"female","2","Question_5",0.939
"256",61,21,"male","1","Question_5",0.914
"257",62,19,"male","2","Question_5",0.879
"258",63,18,"female","1","Question_5",0.861
"259",64,18,"female","2","Question_5",0.829
"260",65,18,"female","1","Question_5",0.829
"261",1,24,"female","1","Question_6",0.83
"262",2,23,"male","2","Question_6",0.843
"263",3,19,"female","1","Question_6",0.806
"264",4,22,"male","2","Question_6",0.893
"265",5,39,"female","1","Question_6",0.848
"266",6,22,"female","2","Question_6",0.903
"267",7,22,"male","1","Question_6",0.76
"268",8,36,"female","2","Question_6",0.823
"269",9,29,"male","1","Question_6",0.814
"270",10,22,"female","2","Question_6",0.92
"271",11,18,"female","1","Question_6",0.894
"272",12,22,"female","2","Question_6",0.936
"273",13,23,"male","1","Question_6",0.909
"274",14,32,"female","2","Question_6",0.729
"275",15,22,"female","1","Question_6",0.825
"276",16,38,"female","2","Question_6",0.864
"277",17,25,"female","1","Question_6",0.701
"278",18,33,"female","2","Question_6",0.85
"279",19,22,"female","1","Question_6",0.701
"280",20,23,"male","2","Question_6",0.907
"281",21,32,"female","1","Question_6",0.829
"282",22,33,"female","2","Question_6",0.885
"283",23,31,"male","1","Question_6",0.87
"284",24,23,"female","2","Question_6",0.865
"285",25,20,"male","1","Question_6",0.746
"286",26,25,"female","2","Question_6",0.844
"287",27,20,"male","1","Question_6",0.833
"288",28,26,"male","2","Question_6",0.882
"289",29,18,"female","1","Question_6",0.79
"290",30,19,"female","2","Question_6",0.579
"291",31,18,"female","1","Question_6",0.853
"292",32,22,"female","2","Question_6",0.707
"293",33,24,"female","1","Question_6",0.747
"294",34,22,"male","2","Question_6",0.864
"295",35,20,"female","1","Question_6",0.748
"296",36,18,"female","2","Question_6",0.794
"297",37,27,"female","1","Question_6",0.785
"298",38,19,"female","2","Question_6",0.731
"299",39,20,"female","1","Question_6",0.772
"300",40,19,"female","2","Question_6",0.756
"301",41,18,"female","1","Question_6",0.637
"302",42,19,"female","2","Question_6",0.801
"303",43,20,"female","1","Question_6",0.889
"304",44,18,"female","2","Question_6",0.886
"305",45,18,"male","1","Question_6",0.821
"306",46,24,"female","2","Question_6",0.822
"307",47,18,"female","1","Question_6",0.728
"308",48,18,"female","2","Question_6",0.747
"309",49,22,"female","1","Question_6",0.863
"310",50,22,"female","2","Question_6",0.74
"311",51,20,"female","1","Question_6",0.924
"312",52,22,"male","2","Question_6",0.744
"313",53,18,"female","1","Question_6",0.781
"314",54,18,"female","2","Question_6",0.76
"315",55,18,"female","1","Question_6",0.99
"316",56,18,"female","2","Question_6",0.819
"317",57,18,"female","1","Question_6",0.746
"318",58,18,"female","2","Question_6",0.748
"319",59,18,"female","1","Question_6",0.931
"320",60,18,"female","2","Question_6",0.808
"321",61,21,"male","1","Question_6",0.754
"322",62,19,"male","2","Question_6",0.868
"323",63,18,"female","1","Question_6",0.891
"324",64,18,"female","2","Question_6",0.733
"325",65,18,"female","1","Question_6",0.82
"326",1,24,"female","1","Question_7",0.933
"327",2,23,"male","2","Question_7",0.967
"328",3,19,"female","1","Question_7",0.892
"329",4,22,"male","2","Question_7",0.867
"330",5,39,"female","1","Question_7",0.833
"331",6,22,"female","2","Question_7",0.849
"332",7,22,"male","1","Question_7",0.783
"333",8,36,"female","2","Question_7",0.797
"334",9,29,"male","1","Question_7",0.957
"335",10,22,"female","2","Question_7",0.889
"336",11,18,"female","1","Question_7",0.917
"337",12,22,"female","2","Question_7",0.9
"338",13,23,"male","1","Question_7",0.889
"339",14,32,"female","2","Question_7",0.757
"340",15,22,"female","1","Question_7",0.975
"341",16,38,"female","2","Question_7",0.771
"342",17,25,"female","1","Question_7",0.439
"343",18,33,"female","2","Question_7",0.915
"344",19,22,"female","1","Question_7",0.856
"345",20,23,"male","2","Question_7",0.854
"346",21,32,"female","1","Question_7",0.926
"347",22,33,"female","2","Question_7",0.792
"348",23,31,"male","1","Question_7",0.925
"349",24,23,"female","2","Question_7",0.879
"350",25,20,"male","1","Question_7",0.917
"351",26,25,"female","2","Question_7",0.975
